| end of split   1 /100 | epoch   0 | time: 618.30s | valid loss  3.15 | valid ppl    23.45 | learning rate 20.00
| end of split   1 /100 | epoch   0 | time: 106.35s | valid loss  3.05 | valid ppl    21.20 | learning rate 20.00
| end of split   2 /100 | epoch   0 | time: 105.72s | valid loss  3.08 | valid ppl    21.84 | learning rate 20.00
| end of split   3 /100 | epoch   0 | time: 106.16s | valid loss  3.22 | valid ppl    24.94 | learning rate 20.00
| end of split   4 /100 | epoch   0 | time: 105.04s | valid loss  2.99 | valid ppl    19.97 | learning rate 20.00
| end of split   5 /100 | epoch   0 | time: 105.05s | valid loss  3.07 | valid ppl    21.61 | learning rate 20.00
| end of split   6 /100 | epoch   0 | time: 105.91s | valid loss  3.41 | valid ppl    30.27 | learning rate 20.00
| end of split   7 /100 | epoch   0 | time: 107.28s | valid loss  3.10 | valid ppl    22.17 | learning rate 20.00
| end of split   8 /100 | epoch   0 | time: 106.99s | valid loss  3.11 | valid ppl    22.36 | learning rate 20.00
| end of split   9 /100 | epoch   0 | time: 105.41s | valid loss  3.52 | valid ppl    33.77 | learning rate 20.00
| end of split  10 /100 | epoch   0 | time: 105.96s | valid loss  3.10 | valid ppl    22.24 | learning rate 20.00
| end of split  11 /100 | epoch   0 | time: 106.66s | valid loss  3.33 | valid ppl    27.82 | learning rate 20.00
| end of split  12 /100 | epoch   0 | time: 106.01s | valid loss  3.07 | valid ppl    21.48 | learning rate 20.00
| end of split  13 /100 | epoch   0 | time: 106.46s | valid loss  3.15 | valid ppl    23.25 | learning rate 20.00
| end of split  14 /100 | epoch   0 | time: 105.98s | valid loss  3.06 | valid ppl    21.27 | learning rate 20.00
| end of split  15 /100 | epoch   0 | time: 105.15s | valid loss  3.43 | valid ppl    30.97 | learning rate 20.00
| end of split  16 /100 | epoch   0 | time: 105.65s | valid loss  2.99 | valid ppl    19.90 | learning rate 5.00
| end of split  17 /100 | epoch   0 | time: 107.42s | valid loss  2.98 | valid ppl    19.65 | learning rate 5.00
| end of split  18 /100 | epoch   0 | time: 105.70s | valid loss  2.97 | valid ppl    19.55 | learning rate 5.00
| end of split  19 /100 | epoch   0 | time: 106.26s | valid loss  2.99 | valid ppl    19.91 | learning rate 5.00
| end of split  20 /100 | epoch   0 | time: 106.72s | valid loss  3.00 | valid ppl    20.12 | learning rate 5.00
| end of split  21 /100 | epoch   0 | time: 106.60s | valid loss  2.99 | valid ppl    19.83 | learning rate 5.00
| end of split  22 /100 | epoch   0 | time: 105.54s | valid loss  2.98 | valid ppl    19.76 | learning rate 5.00
| end of split  23 /100 | epoch   0 | time: 105.48s | valid loss  2.97 | valid ppl    19.42 | learning rate 5.00
| end of split  24 /100 | epoch   0 | time: 105.68s | valid loss  2.97 | valid ppl    19.50 | learning rate 5.00
| end of split  25 /100 | epoch   0 | time: 106.97s | valid loss  2.97 | valid ppl    19.42 | learning rate 5.00
| end of split  26 /100 | epoch   0 | time: 106.59s | valid loss  3.13 | valid ppl    22.95 | learning rate 5.00
| end of split  27 /100 | epoch   0 | time: 105.13s | valid loss  2.98 | valid ppl    19.68 | learning rate 5.00
| end of split  28 /100 | epoch   0 | time: 106.09s | valid loss  3.00 | valid ppl    19.99 | learning rate 5.00
