| end of split   1 /100 | epoch   1 | time: 963.84s | valid loss  1.62 | valid ppl     5.06 | learning rate 20.00
| end of split   2 /100 | epoch   1 | time: 964.44s | valid loss  1.45 | valid ppl     4.27 | learning rate 20.00
| end of split   3 /100 | epoch   1 | time: 963.90s | valid loss  1.42 | valid ppl     4.13 | learning rate 20.00
| end of split   4 /100 | epoch   1 | time: 964.09s | valid loss  1.35 | valid ppl     3.86 | learning rate 20.00
| end of split   5 /100 | epoch   1 | time: 964.44s | valid loss  1.33 | valid ppl     3.77 | learning rate 20.00
| end of split   6 /100 | epoch   1 | time: 963.68s | valid loss  1.31 | valid ppl     3.70 | learning rate 20.00
| end of split   7 /100 | epoch   1 | time: 964.26s | valid loss  1.28 | valid ppl     3.61 | learning rate 20.00
| end of split   8 /100 | epoch   1 | time: 964.46s | valid loss  1.27 | valid ppl     3.55 | learning rate 20.00
| end of split   9 /100 | epoch   1 | time: 963.45s | valid loss  1.28 | valid ppl     3.61 | learning rate 20.00
| end of split  10 /100 | epoch   1 | time: 964.43s | valid loss  1.25 | valid ppl     3.50 | learning rate 20.00
| end of split  11 /100 | epoch   1 | time: 964.12s | valid loss  1.24 | valid ppl     3.46 | learning rate 20.00
| end of split  12 /100 | epoch   1 | time: 964.37s | valid loss  1.24 | valid ppl     3.44 | learning rate 20.00
| end of split  13 /100 | epoch   1 | time: 964.18s | valid loss  1.23 | valid ppl     3.43 | learning rate 20.00
| end of split  14 /100 | epoch   1 | time: 964.08s | valid loss  1.22 | valid ppl     3.39 | learning rate 20.00
| end of split  15 /100 | epoch   1 | time: 963.83s | valid loss  1.22 | valid ppl     3.40 | learning rate 20.00
| end of split  16 /100 | epoch   1 | time: 963.85s | valid loss  1.22 | valid ppl     3.39 | learning rate 20.00
| end of split  17 /100 | epoch   1 | time: 964.35s | valid loss  1.21 | valid ppl     3.35 | learning rate 20.00
| end of split  18 /100 | epoch   1 | time: 964.43s | valid loss  1.20 | valid ppl     3.33 | learning rate 20.00
| end of split  19 /100 | epoch   1 | time: 964.08s | valid loss  1.20 | valid ppl     3.31 | learning rate 20.00
| end of split  20 /100 | epoch   1 | time: 964.25s | valid loss  1.20 | valid ppl     3.31 | learning rate 20.00
| end of split  21 /100 | epoch   1 | time: 963.65s | valid loss  1.20 | valid ppl     3.32 | learning rate 20.00
| end of split  22 /100 | epoch   1 | time: 961.93s | valid loss  1.20 | valid ppl     3.33 | learning rate 20.00
| end of split  23 /100 | epoch   1 | time: 964.04s | valid loss  1.18 | valid ppl     3.27 | learning rate 20.00
| end of split  24 /100 | epoch   1 | time: 964.28s | valid loss  1.18 | valid ppl     3.26 | learning rate 20.00
| end of split  25 /100 | epoch   1 | time: 990.57s | valid loss  1.18 | valid ppl     3.25 | learning rate 20.00
| end of split  26 /100 | epoch   1 | time: 963.26s | valid loss  1.18 | valid ppl     3.25 | learning rate 20.00
| end of split  27 /100 | epoch   1 | time: 963.38s | valid loss  1.21 | valid ppl     3.34 | learning rate 20.00
| end of split  28 /100 | epoch   1 | time: 964.15s | valid loss  1.17 | valid ppl     3.22 | learning rate 20.00
| end of split  29 /100 | epoch   1 | time: 963.03s | valid loss  1.17 | valid ppl     3.23 | learning rate 20.00
| end of split  30 /100 | epoch   1 | time: 963.46s | valid loss  1.20 | valid ppl     3.32 | learning rate 20.00
| end of split  31 /100 | epoch   1 | time: 963.55s | valid loss  1.19 | valid ppl     3.28 | learning rate 20.00
| end of split  32 /100 | epoch   1 | time: 963.58s | valid loss  1.17 | valid ppl     3.23 | learning rate 20.00
| end of split  33 /100 | epoch   1 | time: 964.26s | valid loss  1.16 | valid ppl     3.20 | learning rate 20.00
