| end of split   1 /100 | epoch   1 | time: 959.49s | valid loss  1.65 | valid ppl     5.22 | learning rate 20.00
| end of split   2 /100 | epoch   1 | time: 960.03s | valid loss  1.44 | valid ppl     4.24 | learning rate 20.00
| end of split   3 /100 | epoch   1 | time: 960.86s | valid loss  1.43 | valid ppl     4.16 | learning rate 20.00
| end of split   1 /100 | epoch   1 | time: 973.01s | valid loss  1.59 | valid ppl     4.92 | learning rate 20.00
| end of split   2 /100 | epoch   1 | time: 974.77s | valid loss  1.49 | valid ppl     4.44 | learning rate 20.00
| end of split   3 /100 | epoch   1 | time: 978.76s | valid loss  1.40 | valid ppl     4.04 | learning rate 20.00
| end of split   4 /100 | epoch   1 | time: 974.91s | valid loss  1.35 | valid ppl     3.87 | learning rate 20.00
| end of split   5 /100 | epoch   1 | time: 1007.18s | valid loss  1.33 | valid ppl     3.78 | learning rate 20.00
| end of split   6 /100 | epoch   1 | time: 982.62s | valid loss  1.30 | valid ppl     3.66 | learning rate 20.00
| end of split   7 /100 | epoch   1 | time: 992.75s | valid loss  1.29 | valid ppl     3.63 | learning rate 20.00
| end of split   8 /100 | epoch   1 | time: 983.35s | valid loss  1.27 | valid ppl     3.57 | learning rate 20.00
| end of split   9 /100 | epoch   1 | time: 987.54s | valid loss  1.26 | valid ppl     3.53 | learning rate 20.00
| end of split  10 /100 | epoch   1 | time: 976.57s | valid loss  1.26 | valid ppl     3.52 | learning rate 20.00
| end of split  11 /100 | epoch   1 | time: 975.50s | valid loss  1.24 | valid ppl     3.44 | learning rate 20.00
| end of split  12 /100 | epoch   1 | time: 973.98s | valid loss  1.26 | valid ppl     3.51 | learning rate 20.00
| end of split  13 /100 | epoch   1 | time: 977.88s | valid loss  1.23 | valid ppl     3.44 | learning rate 20.00
| end of split  14 /100 | epoch   1 | time: 973.39s | valid loss  1.24 | valid ppl     3.44 | learning rate 20.00
| end of split  15 /100 | epoch   1 | time: 977.54s | valid loss  1.21 | valid ppl     3.36 | learning rate 20.00
| end of split  16 /100 | epoch   1 | time: 975.59s | valid loss  1.21 | valid ppl     3.37 | learning rate 20.00
| end of split  17 /100 | epoch   1 | time: 981.26s | valid loss  1.20 | valid ppl     3.33 | learning rate 20.00
| end of split  18 /100 | epoch   1 | time: 980.62s | valid loss  1.20 | valid ppl     3.31 | learning rate 20.00
| end of split  19 /100 | epoch   1 | time: 980.64s | valid loss  1.19 | valid ppl     3.30 | learning rate 20.00
| end of split  20 /100 | epoch   1 | time: 993.54s | valid loss  1.19 | valid ppl     3.28 | learning rate 20.00
| end of split  21 /100 | epoch   1 | time: 979.42s | valid loss  1.20 | valid ppl     3.31 | learning rate 20.00
| end of split  22 /100 | epoch   1 | time: 978.75s | valid loss  1.19 | valid ppl     3.30 | learning rate 20.00
| end of split  23 /100 | epoch   1 | time: 987.12s | valid loss  1.20 | valid ppl     3.33 | learning rate 20.00
| end of split  24 /100 | epoch   1 | time: 978.88s | valid loss  1.18 | valid ppl     3.24 | learning rate 20.00
| end of split  25 /100 | epoch   1 | time: 980.37s | valid loss  1.21 | valid ppl     3.34 | learning rate 20.00
| end of split  26 /100 | epoch   1 | time: 1002.28s | valid loss  1.18 | valid ppl     3.25 | learning rate 20.00
| end of split  27 /100 | epoch   1 | time: 979.04s | valid loss  1.17 | valid ppl     3.21 | learning rate 20.00
| end of split  28 /100 | epoch   1 | time: 1008.47s | valid loss  1.19 | valid ppl     3.30 | learning rate 20.00
| end of split  29 /100 | epoch   1 | time: 975.71s | valid loss  1.19 | valid ppl     3.29 | learning rate 20.00
| end of split  30 /100 | epoch   1 | time: 977.75s | valid loss  1.16 | valid ppl     3.20 | learning rate 20.00
| end of split  31 /100 | epoch   1 | time: 978.21s | valid loss  1.16 | valid ppl     3.20 | learning rate 20.00
| end of split  32 /100 | epoch   1 | time: 987.87s | valid loss  1.16 | valid ppl     3.19 | learning rate 20.00
| end of split  33 /100 | epoch   1 | time: 977.70s | valid loss  1.16 | valid ppl     3.18 | learning rate 20.00
| end of split  34 /100 | epoch   1 | time: 977.33s | valid loss  1.16 | valid ppl     3.19 | learning rate 20.00
| end of split  35 /100 | epoch   1 | time: 986.05s | valid loss  1.16 | valid ppl     3.18 | learning rate 20.00
| end of split  36 /100 | epoch   1 | time: 977.09s | valid loss  1.16 | valid ppl     3.19 | learning rate 20.00
| end of split  37 /100 | epoch   1 | time: 975.75s | valid loss  1.16 | valid ppl     3.19 | learning rate 20.00
| end of split  38 /100 | epoch   1 | time: 990.27s | valid loss  1.15 | valid ppl     3.15 | learning rate 20.00
| end of split  39 /100 | epoch   1 | time: 976.88s | valid loss  1.16 | valid ppl     3.19 | learning rate 20.00
| end of split  40 /100 | epoch   1 | time: 977.19s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  41 /100 | epoch   1 | time: 981.24s | valid loss  1.15 | valid ppl     3.15 | learning rate 20.00
| end of split  42 /100 | epoch   1 | time: 977.34s | valid loss  1.15 | valid ppl     3.15 | learning rate 20.00
| end of split  43 /100 | epoch   1 | time: 980.66s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  44 /100 | epoch   1 | time: 979.94s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  45 /100 | epoch   1 | time: 977.90s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  46 /100 | epoch   1 | time: 977.03s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  47 /100 | epoch   1 | time: 978.09s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  48 /100 | epoch   1 | time: 977.50s | valid loss  1.14 | valid ppl     3.13 | learning rate 20.00
| end of split  49 /100 | epoch   1 | time: 977.37s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  50 /100 | epoch   1 | time: 977.81s | valid loss  1.14 | valid ppl     3.13 | learning rate 20.00
| end of split  51 /100 | epoch   1 | time: 988.66s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  52 /100 | epoch   1 | time: 979.24s | valid loss  1.13 | valid ppl     3.11 | learning rate 20.00
| end of split  53 /100 | epoch   1 | time: 980.70s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
