| end of split   1 /100 | epoch   1 | time: 2527.81s | valid loss  1.67 | valid ppl     5.31 | learning rate 20.00
| end of split   2 /100 | epoch   1 | time: 2527.82s | valid loss  1.44 | valid ppl     4.22 | learning rate 20.00
| end of split   3 /100 | epoch   1 | time: 2526.04s | valid loss  1.39 | valid ppl     4.00 | learning rate 20.00
| end of split   4 /100 | epoch   1 | time: 2527.35s | valid loss  1.35 | valid ppl     3.86 | learning rate 20.00
| end of split   5 /100 | epoch   1 | time: 2528.61s | valid loss  1.31 | valid ppl     3.70 | learning rate 20.00
| end of split   6 /100 | epoch   1 | time: 2529.55s | valid loss  1.29 | valid ppl     3.64 | learning rate 20.00
| end of split   7 /100 | epoch   1 | time: 2529.58s | valid loss  1.28 | valid ppl     3.59 | learning rate 20.00
| end of split   8 /100 | epoch   1 | time: 2528.15s | valid loss  1.26 | valid ppl     3.54 | learning rate 20.00
| end of split   9 /100 | epoch   1 | time: 2528.51s | valid loss  1.25 | valid ppl     3.50 | learning rate 20.00
| end of split  10 /100 | epoch   1 | time: 2528.79s | valid loss  1.24 | valid ppl     3.47 | learning rate 20.00
| end of split  11 /100 | epoch   1 | time: 2529.21s | valid loss  1.25 | valid ppl     3.48 | learning rate 20.00
| end of split  12 /100 | epoch   1 | time: 2527.89s | valid loss  1.23 | valid ppl     3.41 | learning rate 20.00
| end of split  13 /100 | epoch   1 | time: 2527.90s | valid loss  1.22 | valid ppl     3.38 | learning rate 20.00
| end of split  14 /100 | epoch   1 | time: 2526.95s | valid loss  1.22 | valid ppl     3.39 | learning rate 20.00
| end of split  15 /100 | epoch   1 | time: 2529.01s | valid loss  1.21 | valid ppl     3.35 | learning rate 20.00
| end of split  16 /100 | epoch   1 | time: 2528.58s | valid loss  1.21 | valid ppl     3.35 | learning rate 20.00
| end of split  17 /100 | epoch   1 | time: 358.57s | valid loss  1.31 | valid ppl     3.69 | learning rate 20.00
| end of split  18 /100 | epoch   1 | time: 2528.73s | valid loss  1.23 | valid ppl     3.40 | learning rate 20.00
| end of split  19 /100 | epoch   1 | time: 2530.41s | valid loss  1.19 | valid ppl     3.30 | learning rate 20.00
| end of split  20 /100 | epoch   1 | time: 2530.73s | valid loss  1.19 | valid ppl     3.29 | learning rate 20.00
| end of split  21 /100 | epoch   1 | time: 2529.96s | valid loss  1.25 | valid ppl     3.50 | learning rate 20.00
| end of split  22 /100 | epoch   1 | time: 2529.62s | valid loss  1.19 | valid ppl     3.28 | learning rate 20.00
| end of split  23 /100 | epoch   1 | time: 2530.23s | valid loss  1.18 | valid ppl     3.26 | learning rate 20.00
